Nome;Latitude;Longitude;Bairro
Estação Tubo Rodoferroviária, Avenida Sete de Setembro, Rebouças, Vila Torres,  80060-070, Brasil ;-25,43539155;-49,26085379;Rebouças
Estação Tubo Salgado Filho, Guabirotuba,  ;-25,47172085;-49,2374988;Guabirotuba
Estação Tubo Santa Quitéria, Santa Quitéria,  ;-25,4591512;-49,30242941;Santa Quitéria
Estação Tubo São Grato, Canaleta Exclusiva BRT, Mossunguê,  81200-110, Brasil ;-25,4365522;-49,3285166;Mossunguê
Terminal Bairro Alto, Bairro Alto,  82820310, Brasil ;-25,413192;-49,2058339;Bairro Alto
Terminal Barreirinha, 4100, Avenida Anita Garibaldi, São Lourenço,  82700-190, Brasil ;-25,37745155;-49,26244374;São Lourenço
Terminal Boa Vista, Boa Vista,  82560-020, Brasil ;-25,3931885;-49,2409903;Boa Vista
Terminal Boqueirão, Boqueirão,  ;-25,51699345;-49,23029225;Boqueirão
Terminal Cabral, Cabral,  80035-049, Brasil ;-25,4061171;-49,2520801;Cabral
Terminal Caiuá, Cidade Industrial de Curitiba,  81250-460, Brasil ;-25,4839854;-49,3500479;Cidade Industrial de Curitiba
Terminal Campina do Siqueira, Campina do Siqueira,  80710-000, Brasil ;-25,4362293;-49,3079771;Campina do Siqueira
Terminal Campo Comprido, Cidade Industrial de Curitiba,  81200-240, Brasil ;-25,4417396;-49,3474496;Cidade Industrial de Curitiba
Terminal Capão da Imbuia, Capão da Imbuia,  82900-010, Brasil ;-25,4397836;-49,2222149;Capão da Imbuia
Terminal Capão Raso, Novo Mundo,  ;-25,4921256;-49,29339708;Novo Mundo
Terminal Carmo, Boqueirão,  ;-25,50158975;-49,2374899;Boqueirão
Terminal Centenário, Cajuru,  82960-180, Brasil ;-25,4690846;-49,2076415;Cajuru
Terminal CIC, Rua Léa Moreira de Souza Moura  ;-25,51164455;-49,32456598;Cidade Industrial de Curitiba
Terminal Fazendinha, Fazendinha,  81330-300, Brasil ;-25,4771909;-49,3278076;Fazendinha
Terminal Guadalupe, Centro,  ;-25,43257245;-49,26525389;Centro
Terminal Hauer, Hauer,  81610-020, Brasil ;-25,4818422;-49,2467592;Hauer
Terminal Oficinas, Cajuru,  82950-420, Brasil ;-25,4526978;-49,2145997;Cajuru
Terminal Pinheirinho, Capão Raso,  ;-25,51264965;-49,2954345;Capão Raso
Terminal Portão, Portão,  80610-905, Brasil ;-25,4759881;-49,2928083;Portão
Terminal Santa Cândida, Tingui,  82620360, Brasil ;-25,3769857;-49,2251485;Tingui
Terminal Santa Felicidade, Santa Felicidade,  82020-470, Brasil ;-25,4014354;-49,3295239;Santa Felicidade
Terminal Sítio Cercado, Sítio Cercado,  8191-080, Brasil ;-25,5340907;-49,2672899;Sítio Cercado
Estação Tubo Tiradentes, Praça Tiradentes, Centro Histórico, Centro,  80020-120, Brasil ;-25,4294477;-49,2723205;Centro
Estação Tubo Tribunal Regional Eleitoral, Parolin, Vila Torres,  ;-25,45913805;-49,25826066;Parolin
Estação Tubo Universidade Tecnológica, Rebouças,  ;-25,4388148;-49,2681139;Rebouças
Estação-tubo Vila Nova, Avenida Presidente Affonso Camargo, Capão da Imbuia,  82810-000, Brasil ;-25,4431303;-49,2036123;Capão da Imbuia
Estação-tubo Visconde de Nácar, Canaleta Exclusiva BRT, Centro,  80410-120, Brasil ;-25,4313369;-49,2788224;Centro
Estação Tubo Vital Brasil, Canaleta Exclusiva BRT, Água Verde,  80610260, Brasil ;-25,4646556;-49,2912392;Água Verde
Estação Tubo Wenceslau Bráz, Avenida Presidente Wenceslau Braz, Portão,  80610-905, Brasil ;-25,4774141;-49,2850011;Portão
Estação Tubo Westphalen, Rebouças,  ;-25,44178625;-49,26828035;Rebouças
Estação-tubo Winston Churchill, Canaleta Exclusiva - BRT, Pinheirinho,  81150-140, Brasil ;-25,5207082;-49,2955224;Pinheirinho
Estação Tubo Xaxim, Xaxim,  ;-25,4967228;-49,2761679;Xaxim
