EDUCACAO_PARTICULAR;EDUCACAO_PUBLICA;LAZER_PARTICULAR;LAZER_PUBLICO;SAUDE_PARTICULAR;SAUDE_PUBLICA;SEGURANCA_PATRIMONIO;SEGURANCA_VIDA;TRANSPORTE_CICLOVIAS;TRANSPORTE_ONIBUS;ZONEAMENTO_COMERCIO;ZONEAMENTO_INDUSTRIA;BAIRRO;NOME DO BAIRRO;AREA;HABITANTES;DOMICILIOS;RENDA MEDIA;PRECO VENDA;LATITUDE;LONGITUDE
745,7050103;494,5725782;41,90021464;46,2636279;28,2625365;117,3794157;756,5185155;927,3047904;1685,498732;147,5212568;961,597011;882,8671276;CAMPINA DO SIQUEIRA;CAMPINA DO SIQUEIRA;1,69;8530;2238;1903;8401;-25,43898924;-49,30921618
709,682129;486,7947575;39,32932419;44,15507194;26,45092807;116,8083526;740,1573028;902,9813487;1626,752149;140,5831763;934,158336;864,9922004;CAMPO COMPRIDO;CAMPO COMPRIDO;8,55;25966;6649;1216;6712;-25,45672296;-49,32899843
504,1370556;392,433851;26,68613916;30,52455193;17,75087716;95,18353185;582,9013382;715,1208071;1171,937239;101,9569232;703,5885202;669,8966326;CAMPO DE SANTANA;CAMPO DE SANTANA;21,57;8802;1961;564;2939;-25,59742053;-49,32425008
704,4325092;460,5168469;40,19020806;44,29837164;26,25194947;111,1601449;716,9188639;872,5431895;1581,462729;143,6433567;914,6390897;831,9432354;CAPÃO DA IMBUIA;CAPÃO DA IMBUIA;3,16;25171;6209;1147;4672;-25,43657647;-49,21530693
705,8420175;501,1376298;38,31411531;43,17514247;25,42967961;125,2080617;781,0928439;928,4957992;1629,328338;143,0928418;969,4732402;914,4990832;CAPÃO RASO;CAPÃO RASO;5,06;41251;10320;977;4695;-25,50532703;-49,29512495
715,3524925;468,5916586;40,77624283;45,59690352;27,42780421;111,099037;715,5267805;881,225137;1621,710673;140,9204403;912,4696476;833,9209225;CASCATINHA;CASCATINHA;2,57;2473;586;2198;6062;-25,41346986;-49,31164773
439,5410497;347,803154;23,09551148;26,55954434;15,42433442;84,39861324;512,7185939;631,0127257;1026,025525;88,6503658;617,1138915;589,7004066;CAXIMBA;CAXIMBA;8,17;2970;631;525;3039;-25,61730845;-49,35424728
783,96557;505,4726898;45,40021259;48,30511899;30,22373641;118,9096915;772,8827306;956,2335227;1735,379712;156,7210925;990,7274247;897,141852;CENTRO;CENTRO;3,3;39148;14576;2221;7326;-25,4325269;-49,26964654
750,4863432;482,5479504;43,55782033;48,26134913;28,9646683;114,7166467;740,3901647;916,1336558;1681,432952;150,0005517;952,4854125;860,57137;CENTRO CÍVICO;CENTRO CÍVICO;0,97;5720;1958;2878;7024;-25,41498464;-49,26853447
648,9113724;473,105564;35,2515141;40,39528797;23,57215687;115,8635811;710,5752115;867,7276108;1507,873741;129,8106302;884,9904679;831,3988765;CIDADE INDUSTRIAL;CIDADE INDUSTRIAL;43,38;188953;43494;639;5324;-25,50696564;-49,33819769
750,354715;486,7149933;43,17777542;46,9883426;28,43740793;116,354741;755,1371437;921,8247105;1687,858616;152,8374842;964,0867307;873,2322251;CRISTO REI;CRISTO REI;1,46;15990;5128;2603;6930;-25,43301673;-49,24325033
758,5926629;513,2807655;41,67572837;45,99038189;27,56138212;124,1120416;844,4223761;958,9184263;1724,520983;156,6208514;1018,288266;937,9692776;FANNY;FANNY;2;9439;2293;1189;4700;-25,48085312;-49,26817945
701,6261998;494,4226656;38,46049246;43,50555484;25,74502138;120,778258;751,9157771;912,0226735;1618,069459;140,1395917;944,0996494;879,2383683;FAZENDINHA;FAZENDINHA;3,72;31346;12071;833;3495;-25,48149102;-49,32486676
570,6971514;429,5763868;30,41174959;34,27691122;20,0555646;102,6869804;647,3070378;788,0735096;1310,155096;116,371187;785,6604573;742,8496247;GANCHINHO;GANCHINHO;11,2;8790;1921;767;3005;-25,5749249;-49,25796961
752,7676504;499,6854997;42,13983613;45,73250291;27,73374092;120,5123329;793,271512;938,7257801;1696,10006;156,255261;986,6482609;901,672587;GUABIROTUBA;GUABIROTUBA;2,63;12814;3068;1720;3530;-25,46392176;-49,24272549
778,4135595;518,0386706;42,98729013;46,74651498;28,51416311;124,172984;834,2148525;971,6971232;1759,631092;159,9157366;1037,113179;951,1514666;GUAÍRA;GUAÍRA;2,32;17122;4187;1235;5170;-25,46916129;-49,2748558
