LOGRADOURO;BAIRRO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
R. ARCÉSIO DE BARROS LIMA;TATUQUARA;3;INDUSTRIA;-25,564916;-49,3357154
R. ARCÉSIO DE BARROS LIMA;TATUQUARA;27;COMERCIO;-25,564916;-49,3357154
R. FRANCISCO WARCHESKI;TATUQUARA;14;COMERCIO;-25,5646967;-49,3116714
AV. PERO VAZ DE CAMINHA;TATUQUARA;4;INDUSTRIA;-25,564328;-49,3408229
AV. PERO VAZ DE CAMINHA;TATUQUARA;19;COMERCIO;-25,564328;-49,3408229
R. ESTANISLAU SELENKO;UMBARÁ;4;INDUSTRIA;-25,5641183;-49,2888296
R. ALEXANDRO GLENSKI;GANCHINHO;3;INDUSTRIA;-25,5639643;-49,2500073
R. ALEXANDRO GLENSKI;MOSSUNGUÊ;3;INDUSTRIA;-25,5639643;-49,2500073
R. ALEXANDRO GLENSKI;MOSSUNGUÊ;21;COMERCIO;-25,5639643;-49,2500073
R. JOÃO BATISTA BETTEGA JÚNIOR;TATUQUARA;30;COMERCIO;-25,5636248;-49,3089024
R. ANÍZIA MARIA DA CONCEIÇÃO FERREIRA;TATUQUARA;13;COMERCIO;-25,563442;-49,3373248
R. HUMBERTO NEGRELLO;UMBARÁ;13;COMERCIO;-25,5629412;-49,2766239
R. JESUS FRANCISCO DA ROCHA;TATUQUARA;3;INDUSTRIA;-25,5625672;-49,3373141
R. SINFRÔNIO MESA NETO;TATUQUARA;3;INDUSTRIA;-25,5621263;-49,3385241
R. SINFRÔNIO MESA NETO;TATUQUARA;16;COMERCIO;-25,5621263;-49,3385241
R. DEPUTADO VIDAL VANHONI;TATUQUARA;4;INDUSTRIA;-25,5610999;-49,3373443
R. DEPUTADO VIDAL VANHONI;TATUQUARA;25;COMERCIO;-25,5610999;-49,3373443
R. BORTOLO PELANDA;UMBARÁ;7;INDUSTRIA;-25,5609581;-49,29088
R. BORTOLO PELANDA;UMBARÁ;19;COMERCIO;-25,5609581;-49,29088
R. DESEMBARGADOR ERNANI ALMEIDA DE ABREU;TATUQUARA;4;INDUSTRIA;-25,559551;-49,3385078
R. DESEMBARGADOR ERNANI ALMEIDA DE ABREU;TATUQUARA;44;COMERCIO;-25,559551;-49,3385078
R. JOVENILSON AMÉRICO DE OLIVEIRA;TATUQUARA;6;INDUSTRIA;-25,5589008;-49,3313455
R. JOVENILSON AMÉRICO DE OLIVEIRA;TATUQUARA;55;COMERCIO;-25,5589008;-49,3313455
R. ADRIANA CERES ZAGO BUENO;TATUQUARA;21;COMERCIO;-25,5588526;-49,3412284
R. SILVIO CORAZZA;GANCHINHO;3;INDUSTRIA;-25,5588141;-49,252797
R. LUIZ AUGUSTO DE TOLEDO LEITE;UMBARÁ;3;INDUSTRIA;-25,5579832;-49,2798651
R. PEDRO PICUSSA;UMBARÁ;19;COMERCIO;-25,557256;-49,2822219
R. ANTONIO AUGUSTO DE BRITO;UMBARÁ;4;INDUSTRIA;-25,5562351;-49,2792387
