LOGRADOURO;BAIRRO ALTO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
PROFESSOR PORTHOS VELOZO;PAROLIN;17;PATRIMONIO;-25,4647252;-49,2597906
PROF. PORTHOS VELOZO;PAROLIN;8;PATRIMONIO;-25,4647252;-49,2597906
PROFESSOR PORTHOS VELOZO;GUAÍRA;2;VIDA;-25,4647252;-49,2597906
PIQUIRI;REBOUÇAS;11;PATRIMONIO;-25,447286;-49,2597604
PIQUIRI;PRADO VELHO;5;PATRIMONIO;-25,447286;-49,2597604
PIQUIRI;REBOUÇAS;4;VIDA;-25,447286;-49,2597604
PIQUIRI;PRADO VELHO;2;VIDA;-25,447286;-49,2597604
ROCHA POMBO;JUVEVÊ;2;VIDA;-25,4134312;-49,2597168
GUILHERME BRUSCHZ;SÍTIO CERCADO;2;VIDA;-25,5408076;-49,2597046
DESEMBARGADOR CARLOS PINHEIRO GUIMARAES;SÍTIO CERCADO;15;PATRIMONIO;-25,5494387;-49,2596843
DES. CARLOS PINHEIRO GUIMÃRAES;SÍTIO CERCADO;13;PATRIMONIO;-25,5494387;-49,2596843
DESEMBARGADOR CARLOS PINHEIRO GUIMARAES;SÍTIO CERCADO;4;VIDA;-25,5494387;-49,2596843
DESEMBARGADOR CARLOS PINHEIRO GUIMARÃES;SÍTIO CERCADO;2;VIDA;-25,5494387;-49,2596843
EVARISTO DA VEIGA;BOQUEIRÃO;2;VIDA;-25,492515;-49,259684
SIRIUS;SÍTIO CERCADO;2;VIDA;-25,5294568;-49,2595809
DR. REYNALDO MACHADO;REBOUÇAS;5;PATRIMONIO;-25,4419389;-49,2595354
MIGUEL OLESKOWICZ;SÍTIO CERCADO;2;VIDA;-25,5306629;-49,2595191
ROBERTO FARIA;FANNY;7;PATRIMONIO;-25,4750708;-49,2594797
AYRTON PIZZATTO GUSI;XAXIM;13;PATRIMONIO;-25,52542276;-49,2594763
GEN. CARNEIRO;ALTO DA GLÓRIA;6;VIDA;-25,42987205;-49,25944214
NETUNO;SÍTIO CERCADO;9;PATRIMONIO;-25,528515;-49,2594117
CIDADE DE OURO;SÍTIO CERCADO;5;PATRIMONIO;-25,5336771;-49,2593192
CIDADE DE OURO;SÍTIO CERCADO;2;VIDA;-25,5336771;-49,2593192
ALCINO GUANABARA;HAUER;5;VIDA;-25,4857568;-49,2591534
JOSÉ REBELATO;XAXIM;121;PATRIMONIO;-25,49378;-49,2590796
JOSÉ REBELATO;XAXIM;17;VIDA;-25,49378;-49,2590796
