LATITUDE;LONGITUDE
-25,46085141;-49,28097945
-25,44842353;-49,28097042
-25,38473633;-49,28070267
-25,44286954;-49,28059424
-25,50804277;-49,28055361
-25,45881186;-49,28046125
-25,53576673;-49,28041694
-25,44632131;-49,28039926
-25,45998948;-49,28038169
-25,56652347;-49,28035582
-25,44804614;-49,27998005
-25,45801657;-49,27980291
-25,45912754;-49,27978394
-25,38497284;-49,27968128
-25,50859074;-49,27967804
-25,44250086;-49,27963677
-25,53638741;-49,27959553
-25,56603339;-49,2794653
-25,44596476;-49,27943497
-25,45826561;-49,27918618
-25,45722128;-49,27914458
-25,44766874;-49,27898967
-25,50913871;-49,27880247
-25,53700809;-49,27877413
-25,53700809;-49,27877413
-25,44213218;-49,27867931
-25,38520935;-49,2786599
-25,45740367;-49,27858843
-25,56554331;-49,27857479
-25,45642599;-49,27848624
-25,44560822;-49,27847067
-25,44729135;-49,2779993
-25,45654174;-49,27799067
-25,50968668;-49,27792691
-25,4556307;-49,27782791
-25,53676932;-49,2777898
-25,4417635;-49,27772184
-25,56505323;-49,27768427
-25,38544585;-49,27763851
-25,44525167;-49,27750637
-25,4556798;-49,27739291
-25,45483541;-49,27716958
-25,51023465;-49,27705134
-25,44691395;-49,27700892
-25,53653055;-49,27680547
-25,45481787;-49,27679516
-25,56456315;-49,27679376
-25,44139481;-49,27676437
-25,38568236;-49,27661712
-25,44489513;-49,27654207
-25,45404012;-49,27651124
-25,45395593;-49,2761974
-25,51078262;-49,27617577
-25,44653655;-49,27601855
-25,56407307;-49,27590324
-25,45324483;-49,27585291
-25,53629179;-49,27582115
-25,44102613;-49,27580691
-25,45309399;-49,27559964
-25,38591887;-49,27559574
-25,44453858;-49,27557778
-25,45236255;-49,27538725
-25,51133059;-49,27530021
-25,45244954;-49,27519457
-25,44615916;-49,27502817
-25,56358299;-49,27501273
-25,45223206;-49,27500189
-25,44065745;-49,27484944
-25,53605302;-49,27483682
-25,44418204;-49,27461348
-25,38615537;-49,27457435
-25,45200453;-49,27442939
-25,51187856;-49,27442464
-25,56309291;-49,27412221
-25,44578176;-49,2740378
-25,44028877;-49,27389198
-25,53581425;-49,27385249
-25,44382549;-49,27364918
-25,38639188;-49,27355297
-25,51242653;-49,27354908
-25,45164652;-49,27347154
-25,56260283;-49,2732317
-25,44540437;-49,27304743
-25,43992009;-49,27293451
-25,53557549;-49,27286817
-25,44346895;-49,27268488
-25,5129745;-49,27267351
-25,38662839;-49,27253158
-25,4512885;-49,27251368
-25,56211275;-49,27234118
-25,44502697;-49,27205705
-25,4395514;-49,27197705
-25,53533672;-49,27188384
-25,51352247;-49,27179794
-25,45093048;-49,27155582
-25,3868649;-49,2715102
-25,56162267;-49,27145067
-25,44464957;-49,27106668
-25,43918272;-49,27101958
-25,51407044;-49,27092238
-25,53509795;-49,27089951
-25,45057247;-49,27059796
-25,56113259;-49,27056015
-25,3871014;-49,27048881
-25,44427218;-49,2700763
-25,43881404;-49,27006212
-25,51461841;-49,27004681
-25,51461841;-49,27004681
-25,53485919;-49,26991519
-25,56064251;-49,26966963
-25,45021445;-49,2696401
-25,38733791;-49,26946743
-25,44558503;-49,26917972
-25,43844536;-49,26910465
-25,44389478;-49,26908593
-25,51427974;-49,26907314
-25,53462042;-49,26893086
-25,56015243;-49,26877912
-25,44985644;-49,26868224
-25,38757442;-49,26844604
-25,42347484;-49,2683688
-25,42347484;-49,2683688
-25,42245587;-49,26834182
-25,4214369;-49,26831485
-25,42041794;-49,26828787
-25,41939897;-49,2682609
-25,41838;-49,26823392
-25,44521751;-49,26821402
-25,41736103;-49,26820694
-25,41634206;-49,26817997
-25,41532309;-49,26815299
-25,43807668;-49,26814719
-25,41430412;-49,26812602
-25,51394108;-49,26809947
-25,41328515;-49,26809904
-25,44351738;-49,26809555
-25,41226618;-49,26807207
-25,41124721;-49,26804509
-25,41022824;-49,26801812
-25,40920927;-49,26799114
-25,40819031;-49,26796417
-25,53438166;-49,26794653
-25,40717134;-49,26793719
-25,40615237;-49,26791022
-25,55966235;-49,2678886
-25,4051334;-49,26788324
