NOME;LOGRADOURO;BAIRRO;TIPO;LATITUDE;LONGITUDE
MORADIAS DA ORDEM, C M E I;RUA JOVENILSON AMERICO DE OLIVEIRA 867;TATUQUARA;PÚBLICA;-25,5639904;-49,3283988
GUILHERME PEREIRA NETO, C E-EF_M;RUA DELEGADO BRUNO DE ALMEIDA 4386;CAMPO DE SANTANA;PÚBLICA;-25,5652303;-49,315154
SANTA RITA, C M E I;RUA CARLOS MUNHOZ DA ROCHA 651;TATUQUARA;PÚBLICA;-25,5653635;-49,3384518
BEATRIZ FARIA ANSAY, C E C-M-EF M;RUA FRANCISCO XAVIER DE OLIVEIRA 315;TATUQUARA;PÚBLICA;-25,5654532;-49,3117242
NEWTON BORGES DOS REIS, E M-EI EF;TRAVESSA JORNALISTA ARAMIS MILLARCH 81;TATUQUARA;PÚBLICA;-25,56578404;-49,33378774
LEONEL DE M BRIZOLA, E M GOV-EI EF;RUA ANTONIO ZANON 1371;TATUQUARA;PÚBLICA;-25,5661013;-49,3257247
SAO SEBASTIAO, C E-EFM;RUA NICOLA PELLANDA 8125;UMBARA;PÚBLICA;-25,566131;-49,2879437
JOSE CARLOS PISANI, C M E I;RUA EUGENIO GERALDO ZEGLIN 275;TATUQUARA;PÚBLICA;-25,5690541;-49,3286138
VILA ZANON, E M-EI EF;RUA NOCA CORREIA REINHARDT 151;TATUQUARA;PÚBLICA;-25,5695724;-49,318457
FANI LERNER, C M E I;RUA ENETTE DUBARD 1180;TATUQUARA;PÚBLICA;-25,5698093;-49,3384108
CLAUDIO MORELLI, C E PE-EF M;RUA LUIZ NICHELE 8;UMBARA;PÚBLICA;-25,5699803;-49,2908092
CARMEN SALOMAO TEIXEIRA, E M PROFA-EI EF;RUA PEDRINA ACCORDES COSTA 124;GANCHINHO;PÚBLICA;-25,5722546;-49,2596523
MONTEIRO LOBATO, C M E I;ODIR GOMES DA ROCHA 546;TATUQUARA;PÚBLICA;-25,5729181;-49,3368485
OSVALDO ARNS, E M PROF-EI EF;RUA ODIR GOMES DA ROCHA 546;TATUQUARA;PÚBLICA;-25,5729181;-49,3368485
