LATITUDE;LONGITUDE;QUANTIDADE
-25,4612397;-49,2841947;35
-25,5423902;-49,2842538;17
-25,4497689;-49,2844384;33
-25,444354;-49,2844702;50
-25,4257271;-49,2846214;74
-25,3922247;-49,2846963;13
-25,4437974;-49,284719;32
-25,4682814;-49,2848402;15
-25,4972418;-49,2849469;13
-25,4508896;-49,2850039;22
-25,4273932;-49,2851692;415
-25,4183994;-49,2855442;25
-25,4663425;-49,2857532;77
-25,5254761;-49,28579;44
-25,4619876;-49,2858443;152
-25,4894451;-49,2858925;35
-25,5012566;-49,2860409;14
-25,535434;-49,2860533;17
-25,4340974;-49,2861093;179
-25,5286507;-49,2862228;15
-25,4181609;-49,2865122;21
-25,4328365;-49,2867283;106
-25,4148379;-49,2867618;23
-25,4961148;-49,2868631;67
-25,5050358;-49,2869354;21
-25,4615537;-49,2869949;22
-25,4948705;-49,2870055;22
-25,45563012;-49,28702073;20
-25,4420812;-49,287038;306
-25,5258521;-49,287094;14
-25,5164349;-49,287303;29
-25,5397408;-49,2876159;15
-25,5214524;-49,2876591;70
-25,4885397;-49,2877368;13
-25,425157;-49,2878916;18
-25,566131;-49,2879437;224
-25,453847;-49,2880156;99
-25,5402043;-49,2880469;39
-25,4491026;-49,2880867;47
-25,3976032;-49,2881505;139
-25,4191133;-49,2881751;24
-25,4391237;-49,2883206;35
-25,4437604;-49,2884759;119
-25,5419285;-49,288702;15
-25,4623312;-49,2887759;17
-25,4588042;-49,2888322;22
-25,4762598;-49,2889783;67
-25,4495687;-49,2890016;24
-25,4844327;-49,2890577;13
-25,4852864;-49,2890835;25
-25,4860951;-49,2890971;32
-25,4188417;-49,2893457;25
-25,4397045;-49,2895059;13
-25,4985569;-49,2895168;14
-25,441785;-49,2896094;62
-25,4200094;-49,2896606;16
-25,4893186;-49,2896859;20
-25,4550763;-49,2897066;21
-25,4264566;-49,2897395;73
-25,4742302;-49,2898351;66
-25,429386;-49,2898452;44
-25,5240766;-49,2899305;13
-25,470801;-49,2899374;39
-25,4537217;-49,2902976;53
-25,4625437;-49,2903401;1254
-25,4666671;-49,2903623;44
-25,5024382;-49,2905124;18
-25,5514889;-49,2905631;14
-25,4852886;-49,2905885;26
-25,4235205;-49,2906332;27
-25,5062931;-49,2907031;15
-25,4050677;-49,2907426;45
-25,4673063;-49,2907442;28
-25,5437022;-49,2908577;16
-25,5609581;-49,29088;19
-25,4456544;-49,2910326;262
-25,44965;-49,2910837;90
-25,4826448;-49,2911489;54
-25,4803178;-49,2911715;31
-25,4747791;-49,2912435;24
-25,49906;-49,2913185;17
-25,5301701;-49,291465;13
-25,4642073;-49,2915103;19
-25,455922;-49,291627;20
-25,4979911;-49,2918053;17
-25,469623;-49,2918136;13
-25,5090895;-49,2918462;33
-25,4377499;-49,2919084;378
-25,4250386;-49,2919518;16
-25,5253449;-49,2921292;22
-25,5237039;-49,2922478;13
-25,5262526;-49,2922942;14
-25,5222492;-49,2923337;13
-25,4865709;-49,2924726;372
-25,4346853;-49,2924909;47
-25,4474779;-49,292532;27
-25,4203551;-49,2926151;35
-25,5682133;-49,292626;13
-25,4461868;-49,2927548;21
-25,4915449;-49,2930689;81
-25,4455725;-49,2930706;22
-25,4305671;-49,2931084;59
-25,5269142;-49,2931525;554
-25,4769148;-49,2933083;17
-25,5281042;-49,2934548;14
-25,51511;-49,2939409;35
-25,4613534;-49,2940873;124
-25,5176829;-49,2941073;34
-25,4889295;-49,294109;115
-25,5048459;-49,2941938;37
-25,4601394;-49,294228;26
-25,4973372;-49,294237;23
-25,4566594;-49,2944044;21
-25,4821974;-49,2944168;18
-25,4807458;-49,2944756;16
-25,438783;-49,2944761;20
-25,497933;-49,2944889;15
-25,5194234;-49,2945168;21
-25,4779252;-49,2945489;107
-25,4963703;-49,2947175;14
-25,4453403;-49,2948621;64
-25,4588393;-49,2948626;21
-25,4652841;-49,2949236;20
-25,4943651;-49,2951252;28
-25,4347546;-49,2951269;60
-25,4372389;-49,2951394;31
-25,5306044;-49,2953218;79
-25,4114507;-49,2954954;25
-25,4621997;-49,2955737;52
-25,482919;-49,2956076;13
-25,4686448;-49,295626;15
-25,4773611;-49,29567709;14
-25,4246217;-49,2957796;84
-25,5380573;-49,2958139;23
-25,5042903;-49,2958742;499
-25,4575573;-49,2958923;29
-25,45857542;-49,29619065;59
-25,3996241;-49,2962243;21
-25,5211892;-49,2963037;30
-25,54248;-49,2963517;13
-25,4679021;-49,2964643;18
-25,380939;-49,2966099;14
-25,4609386;-49,2966346;46
-25,4227228;-49,2966512;13
-25,4916498;-49,296827;32
-25,4684905;-49,2969257;205
-25,3912035;-49,2969949;95
-25,4726507;-49,2970745;13
-25,5102466;-49,2973539;25
-25,4548811;-49,2977652;25
-25,4291857;-49,297875;39
-25,460696;-49,2978986;18
-25,52736981;-49,29812435;102
-25,4824291;-49,298361;62
-25,4338741;-49,2983657;32
-25,5511916;-49,2985943;25
-25,4328735;-49,2987196;438
-25,549851;-49,2989766;18
-25,4698715;-49,2990313;24
-25,5102694;-49,299059;50
-25,4994147;-49,2992511;21
-25,4898648;-49,2993636;19
-25,496202;-49,2995775;30
-25,4714527;-49,2996466;91
-25,4862844;-49,2996563;14
-25,5263978;-49,2999126;15
-25,4679208;-49,3000442;16
-25,432003;-49,3005314;24
-25,4665872;-49,3005541;13
-25,5186898;-49,3007143;68
-25,5136205;-49,3007673;46
-25,5076966;-49,3008953;26
-25,5068526;-49,3009136;20
-25,4881706;-49,3010523;18
-25,5247889;-49,3011595;15
-25,4495193;-49,3012118;13
-25,4385447;-49,3012755;25
-25,4350818;-49,3016891;48
-25,4687304;-49,3017917;18
-25,54382871;-49,3018575;29
-25,5059903;-49,3018825;25
-25,5033494;-49,3019211;17
-25,5024573;-49,3019342;33
-25,4722783;-49,3021799;14
-25,425936;-49,3023233;13
-25,4907733;-49,3023837;18
-25,488578;-49,3024113;25
-25,5128356;-49,3026315;48
-25,5120477;-49,3026918;30
-25,4759374;-49,302703;30
-25,5111883;-49,3027173;28
-25,5042198;-49,3027666;17
-25,4738306;-49,3029607;25
-25,4525626;-49,3030084;13
-25,4279601;-49,3037982;14
-25,5224719;-49,3041129;19
-25,4795039;-49,3041137;17
-25,4757668;-49,3041888;497
-25,4519863;-49,3042124;1218
-25,5144881;-49,3043802;22
-25,5161712;-49,3043876;43
