LATITUDE;LONGITUDE;QUANTIDADE
-25,5269702;-49,2466554;3
-25,5269142;-49,2931525;167
-25,5269106;-49,2654022;3
-25,5264633;-49,2866798;3
-25,526162;-49,234062;38
-25,5256452;-49,2629583;2
-25,5254761;-49,28579;2
-25,5253449;-49,2921292;4
-25,5250821;-49,2314907;4
-25,5250506;-49,2409671;5
-25,5247889;-49,3011595;5
-25,5246149;-49,2748473;4
-25,52443;-49,2671477;2
-25,5241917;-49,2716374;5
-25,5240368;-49,2291397;2
-25,5240318;-49,2815432;2
-25,5234903;-49,2637097;9
-25,523236;-49,3333697;3
-25,522513;-49,2761063;3
-25,521903;-49,2718229;17
-25,5214766;-49,2876551;2
-25,5214524;-49,2876591;2
-25,5212447;-49,2702108;5
-25,5210284;-49,2792737;2
-25,5203434;-49,2613497;20
-25,5202296;-49,2659708;2
-25,5202074;-49,3299583;9
-25,5200683;-49,2888655;2
-25,5195884;-49,273917;8
-25,5195525;-49,2815312;5
-25,5192951;-49,306777;3
-25,5191161;-49,2867489;2
-25,5186898;-49,3007143;3
-25,518584;-49,3084411;2
-25,5183307;-49,3215792;10
-25,5179261;-49,2300255;7
-25,5176802;-49,2666848;4
-25,5173476;-49,317391;2
-25,5173065;-49,2741681;9
-25,517271;-49,2393175;3
-25,5170827;-49,3061637;8
-25,5170729;-49,2939688;5
-25,5168979;-49,3249164;21
-25,5166771;-49,3116014;5
-25,5165611;-49,3167566;3
-25,5162944;-49,1943593;4
-25,5161712;-49,3043876;5
-25,5161268;-49,231012;2
-25,5159557;-49,2751623;2
-25,5151988;-49,279437;10
-25,51511;-49,2939409;21
-25,5150263;-49,3098076;2
-25,5148056;-49,328943;16
-25,5144881;-49,3043802;5
-25,5143723;-49,2763977;2
-25,5136865;-49,2514539;2
-25,5136079;-49,2719825;2
-25,5129602;-49,3324971;2
-25,5129147;-49,3518959;2
-25,5128663;-49,3294894;2
-25,5128356;-49,3026315;5
-25,51264965;-49,2954345;3
-25,5122558;-49,2662323;2
-25,5121824;-49,2211986;6
-25,5120477;-49,3026918;4
-25,5120463;-49,3086311;2
-25,5116029;-49,2197549;4
-25,5111883;-49,3027173;5
-25,5111859;-49,3092914;2
-25,5109569;-49,3263547;76
-25,5106434;-49,2799191;8
-25,5105418;-49,3262167;6
-25,5104032;-49,2386133;2
-25,5102694;-49,299059;2
-25,5100712;-49,3360336;2
-25,5099864;-49,2575401;4
-25,5095144;-49,2723499;2
-25,509334;-49,2663284;2
-25,5091561;-49,2671549;3
-25,5090895;-49,2918462;10
-25,5089199;-49,2241832;6
-25,5087494;-49,2717147;2
-25,5087358;-49,323544;3
-25,507973;-49,271521;4
-25,50788605;-49,33218177;4
-25,50788436;-49,28437137;20
-25,5072711;-49,3137601;3
-25,5071471;-49,2250907;9
-25,5070593;-49,3541728;7
-25,5068987;-49,3045659;15
-25,5067303;-49,3544751;2
-25,5065475;-49,2209002;7
-25,506464;-49,3368746;2
-25,5062799;-49,2283548;3
-25,5062451;-49,2501859;2
-25,505783;-49,2271655;3
-25,5057702;-49,3215709;2
